                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.98229,                0.47121,                 1.4007,                0.97559,                0.99218,                 0.9872,                 0.7704,                0.88564,                0.39084,                 1.4391,             0.00019821,             0.00019821,             0.00019821
                     91,                0.91508,                0.43215,                 1.4486,                 0.9726,                0.99299,                0.98756,                0.77065,                0.88557,                0.40141,                 1.4511,              0.0001817,              0.0001817,              0.0001817
                     92,                0.89717,                0.41783,                 1.4321,                0.97408,                0.98888,                0.98706,                 0.7646,                0.90475,                0.41087,                 1.4671,              0.0001652,              0.0001652,              0.0001652
                     93,                0.88788,                0.41963,                 1.4145,                0.97187,                0.99567,                0.98626,                0.76917,                0.88137,                0.40937,                 1.4491,              0.0001487,              0.0001487,              0.0001487
                     94,                0.89624,                 0.4185,                  1.448,                0.97276,                0.99455,                0.98698,                0.76994,                0.88043,                0.39459,                 1.4442,             0.00013219,             0.00013219,             0.00013219
                     95,                0.88467,                0.40945,                 1.4091,                0.97565,                0.99306,                0.98743,                0.77282,                0.88391,                0.39067,                 1.4378,             0.00011569,             0.00011569,             0.00011569
                     96,                0.88484,                 0.4009,                 1.4207,                0.97612,                0.99522,                0.98877,                0.77837,                0.87237,                0.39027,                 1.4284,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.89338,                0.41772,                 1.4265,                0.97628,                0.99422,                0.98836,                0.77539,                0.87597,                0.39026,                 1.4307,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.87586,                0.40779,                  1.403,                0.97588,                0.99309,                0.98869,                0.77671,                0.86999,                0.38479,                 1.4266,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.87419,                0.39579,                  1.408,                0.97637,                0.99337,                0.98885,                0.77789,                 0.8636,                0.38222,                 1.4215,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.8734,                0.39792,                 1.3953,                0.97554,                0.99492,                0.98914,                0.77735,                0.86315,                0.38119,                 1.4185,             3.3173e-05,             3.3173e-05,             3.3173e-05
